task_id,task_name,record_count,original_correct_count,repeat_correct_count,permuted_correct_count,original_accuracy,repeat_accuracy,permuted_accuracy,repeat_disagreement_count,permutation_disagreement_count,repeat_disagreement_rate,permutation_disagreement_rate,absolute_excess_disagreement,permutation_only_count,repeat_only_count
T1,Intent Feasibility Assessment,10,6,7,5,0.6,0.7,0.5,1,3,0.1,0.3,0.2,3,1
T10,SLA Violation Prediction,10,8,8,9,0.8,0.8,0.9,2,2,0.2,0.2,0.0,1,1
T11,Preemptive Autonomy Downgrade,10,8,8,9,0.8,0.8,0.9,0,1,0.0,0.1,0.1,1,0
T12,Conservative Continuation Decision,10,6,6,8,0.6,0.6,0.8,1,4,0.1,0.4,0.3,3,0
T13,Swarm-Level Slice Negotiation,10,8,7,9,0.8,0.7,0.9,1,1,0.1,0.1,0.0,1,1
T14,Scheduler Reconfiguration Adaptation,10,8,8,9,0.8,0.8,0.9,0,1,0.0,0.1,0.1,1,0
T15,Decision Consistency under Replanning,10,8,8,8,0.8,0.8,0.8,0,1,0.0,0.1,0.1,1,0
T16,Network-Exposed Compute Marketplace,10,7,7,8,0.7,0.7,0.8,2,2,0.2,0.2,0.0,1,1
T17,Network-Knowledge RAG Augmentation,10,8,8,8,0.8,0.8,0.8,1,2,0.1,0.2,0.1,1,0
T18,AI Agent Identity & Onboarding,10,8,8,7,0.8,0.8,0.7,0,4,0.0,0.4,0.4,4,0
T19,AI Agent Interoperability & Federation,10,9,9,10,0.9,0.9,1.0,0,1,0.0,0.1,0.1,1,0
T2,Intent Conflict Resolution,10,7,6,7,0.7,0.6,0.7,2,0,0.2,0.0,-0.2,0,2
T20,Agent-to-Agent Communication Management,10,7,8,6,0.7,0.8,0.6,3,5,0.3,0.5,0.2,2,0
T21,Device-Network Task Offload Arbitration,10,5,5,7,0.5,0.5,0.7,2,2,0.2,0.2,0.0,2,2
T22,Federated / Collaborative Learning Orchestration,10,5,6,7,0.5,0.6,0.7,1,2,0.1,0.2,0.1,2,1
T23,Network-Assisted Digital Twin Control,10,7,8,10,0.7,0.8,1.0,1,3,0.1,0.3,0.2,2,0
T24,Sensing-Enhanced Decisioning (ISAC),10,7,7,7,0.7,0.7,0.7,1,2,0.1,0.2,0.1,2,1
T25,AI-Agent-based Disaster / Public-Safety Coordination,10,8,8,5,0.8,0.8,0.5,0,5,0.0,0.5,0.5,5,0
T26,Trust-Aware Third-Party Agent Exposure,10,8,7,6,0.8,0.7,0.6,1,3,0.1,0.3,0.2,2,0
T27,Agent Lifecycle & Management,10,8,7,8,0.8,0.7,0.8,1,2,0.1,0.2,0.1,2,1
T28,6G Model Training-as-a-Service Decision,10,5,7,2,0.5,0.7,0.2,3,5,0.3,0.5,0.2,3,1
T29,Immersive/AR Resource Prioritization,10,7,8,8,0.7,0.8,0.8,1,1,0.1,0.1,0.0,0,0
T3,Intent Drift Detection,10,10,9,10,1.0,0.9,1.0,1,0,0.1,0.0,-0.1,0,1
T30,Network Security Detection & Response Automation,10,5,8,7,0.5,0.8,0.7,3,4,0.3,0.4,0.1,1,0
T4,Slice Selection Reasoning,10,7,8,7,0.7,0.8,0.7,1,0,0.1,0.0,-0.1,0,1
T5,Slice Switching Decision,10,6,8,8,0.6,0.8,0.8,2,4,0.2,0.4,0.2,2,0
T6,Slice Fairness vs Safety,10,7,9,7,0.7,0.9,0.7,2,2,0.2,0.2,0.0,1,1
T7,Compute Placement Decision,10,3,3,6,0.3,0.3,0.6,1,3,0.1,0.3,0.2,3,1
T8,Graceful Degradation under Edge Overload,10,6,7,7,0.6,0.7,0.7,1,3,0.1,0.3,0.2,2,0
T9,Trust-Aware Offloading,10,5,6,2,0.5,0.6,0.2,1,3,0.1,0.3,0.2,3,1
